Timestamp,PID,Nombre,Dir_Local,Pto_Local,Dir_Remota,Pto_Remota,Estado,Tiempo_Enlace,Memoria
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60252,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,40144,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50520,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37550,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53872,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,54000,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53964,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60304,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37566,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50476,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50468,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,36380,code,172.31.9.229,43836,40.71.11.167,443,ESTABLISHED,00:02:51,72.8 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37626,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60262,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41636,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
