Timestamp,PID,Nombre,Dir_Local,Pto_Local,Dir_Remota,Pto_Remota,Estado,Memoria
2026-05-20 22:32:14,3670,brave,2806:10ae:11:2fbb:e0ab:590a:4ff8:a0a7,36090,2600:9000:27f5:4e00:3:6eb2:3580:93a1,443,ESTABLISHED,135.3 MB
2026-05-20 22:32:14,3670,brave,192.168.1.114,43058,140.82.112.26,443,ESTABLISHED,135.3 MB
2026-05-20 22:32:14,3670,brave,2806:10ae:11:2fbb:e0ab:590a:4ff8:a0a7,40250,2a03:2880:f235:1cd:face:b00c:0:167,443,ESTABLISHED,135.3 MB
2026-05-20 22:32:14,3670,brave,2806:10ae:11:2fbb:e0ab:590a:4ff8:a0a7,35847,2607:f8b0:4012:81e::200a,443,NONE,135.3 MB
2026-05-20 22:32:14,4366,code,192.168.1.114,59966,40.71.11.167,443,ESTABLISHED,73.6 MB
2026-05-20 22:32:14,3670,brave,2806:10ae:11:2fbb:e0ab:590a:4ff8:a0a7,55482,2600:9000:2064:2a00:16:99eb:5440:93a1,443,ESTABLISHED,135.3 MB
2026-05-20 22:32:14,4366,code,192.168.1.114,51660,140.82.112.22,443,ESTABLISHED,73.6 MB
2026-05-20 22:32:14,4366,code,192.168.1.114,35704,51.132.193.105,443,ESTABLISHED,73.6 MB
